##########################################################################
# List of KEGG organisms supported in KGML modus
# (depends on KEGG PATHWAY version, please update list if needed)
# KEGG PATHWAY version: 46.0
##########################################################################
aae	Aquifex aeolicus
tva	Trichomonas vaginalis
tvo	Thermoplasma volcanium
twh	Tropheryma whipplei Twist
tws	Tropheryma whipplei TW08/27
uma	Ustilago maydis
upa	Ureaplasma parvum
uur	Ureaplasma urealyticum
vch	Vibrio cholerae O1
vco	Vibrio cholerae O395
vei	Verminephrobacter eiseniae
vfi	Vibrio fischeri
vha	Vibrio harveyi
vok	Candidatus Vesicomyosocius okutanii
vpa	Vibrio parahaemolyticus
vvu	Vibrio vulnificus CMCP6
vvy	Vibrio vulnificus YJ016
wbm	Wolbachia wBm
wbr	Wigglesworthia glossinidia
wol	Wolbachia wMel
wsu	Wolinella succinogenes
xac	Xanthomonas axonopodis
xau	Xanthobacter autotrophicus
xcb	Xanthomonas campestris pv. campestris 8004
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xcv	Xanthomonas campestris pv. vesicatoria
xfa	Xylella fastidiosa 9a5c
xfm	Xylella fastidiosa M12
xft	Xylella fastidiosa Temecula1
xla	Xenopus laevis (African clawed frog)
xom	Xanthomonas oryzae MAFF311018
xoo	Xanthomonas oryzae KACC10331
xtr	Xenopus tropicalis (western clawed frog)
yen	Yersinia enterocolitica
yli	Yarrowia lipolytica
ypa	Yersinia pestis Antiqua
ype	Yersinia pestis CO92
ypg	Yersinia pestis Angola
ypi	Yersinia pseudotuberculosis IP31758
ypk	Yersinia pestis KIM
ypm	Yersinia pestis Mediaevails
ypn	Yersinia pestis Nepal516
ypp	Yersinia pestis Pestoides
yps	Yersinia pseudotuberculosis IP32953
ypy	Yersinia pseudotuberculosis YPIII
zmo	Zymomonas mobilis
